,#TRs,Marker,P,R
0,2,DYS19,0.4576231060606061,0.7121212121212122
1,2,DYS385a/b,0.44375,0.875
2,1,DYS388,0.972972972972973,0.972972972972973
3,2,DYS389I,0.4854166666666666,0.7
4,3,DYS389B,0.33771929824561403,0.6714285714285714
5,6,DYS390,0.1906431609340984,0.46875
6,3,DYS391,0.3491196861886517,0.9777777777777777
7,2,DYS392,0.5329545454545455,0.975
8,2,DYS393,0.4987244897959184,0.9795918367346939
9,1,DYS406S1,0.975609756097561,0.975609756097561
10,1,DYS413a/b,0.9787234042553191,0.9787234042553191
11,2,DYS426,0.5596572181938035,0.972972972972973
12,2,DYS434,0.47188995215311,0.9210526315789473
13,2,DYS435,0.4232558139534884,0.8
14,1,DYS436,0.972972972972973,0.972972972972973
15,4,DYS437,0.2635135135135135,0.5
16,1,DYS438,0.6833333333333333,0.6833333333333333
17,1,DYS439,0.9795918367346939,0.9795918367346939
18,3,DYS441,0.27439874939874936,0.7
19,3,DYS442,0.34150326797385616,0.6911764705882353
20,1,DYS444,0.7796610169491526,0.7796610169491526
21,1,DYS445,0.9795918367346939,0.9795918367346939
22,1,DYS446,0.7285714285714285,0.7285714285714285
23,3,DYS447,0.30491666666666667,0.408
24,7,DYS448,0.1608921863698934,0.3141025641025641
25,3,DYS448_1,0.2880005038100636,0.7313432835820896
26,1,DYS448_2,0.9795918367346939,0.9795918367346939
27,6,DYS449,0.14156626506024098,0.29518072289156627
28,2,DYS449_1,0.4233784746970777,0.8032786885245902
29,1,DYS449_2,0.7796610169491526,0.7796610169491526
30,1,DYS450,0.9782608695652174,0.9782608695652174
31,10,DYS452,0.15806451612903227,0.32903225806451614
32,2,DYS454,0.5266247379454927,0.9777777777777777
33,1,DYS455,0.9777777777777777,0.9777777777777777
34,1,DYS456,0.8166666666666667,0.8166666666666667
35,2,DYS458,0.3968970070422535,0.765625
36,1,DYS459a/b,0.8837209302325582,0.8837209302325582
37,1,DYS460,0.8837209302325582,0.8837209302325582
38,1,DYS461,0.8979591836734694,0.8979591836734694
39,1,DYS462,0.8936170212765957,0.8936170212765957
40,5,DYS463,0.1075297715884688,0.2892561983471074
41,1,DYS472,0.96,0.96
42,1,DYS481,0.7424242424242424,0.7424242424242424
43,1,DYS485,0.9795918367346939,0.9795918367346939
44,1,DYS487,0.975,0.975
45,1,DYS490,0.972972972972973,0.972972972972973
46,1,DYS492,0.8918918918918919,0.8918918918918919
47,1,DYS494,0.967741935483871,0.967741935483871
48,1,DYS495,0.9411764705882353,0.9411764705882353
49,1,DYS505,0.9795918367346939,0.9795918367346939
50,1,DYS511,0.8780487804878049,0.8780487804878049
51,4,DYS520,0.2898983110676659,0.5432098765432098
52,1,DYS522,0.975609756097561,0.975609756097561
53,2,DYS531,0.5281045751633987,0.9777777777777777
54,2,DYS533,0.5236942234520927,0.9795918367346939
55,1,DYS534,0.8166666666666667,0.8166666666666667
56,1,DYS537,0.975609756097561,0.975609756097561
57,1,DYS549,0.9423076923076923,0.9423076923076923
58,1,DYS556,0.9777777777777777,0.9777777777777777
59,5,DYS557,0.24796412767589882,0.6865671641791045
60,1,DYS565,0.8979591836734694,0.8979591836734694
61,1,DYS568,0.8888888888888888,0.8888888888888888
62,1,DYS570,0.7205882352941176,0.7205882352941176
63,1,DYS572,0.975609756097561,0.975609756097561
64,1,DYS575,0.975609756097561,0.975609756097561
65,1,DYS576,0.7205882352941176,0.7205882352941176
66,1,DYS578,0.972972972972973,0.972972972972973
67,1,DYS589,0.7846153846153846,0.7846153846153846
68,2,DYS590,0.5446230598669622,0.975609756097561
69,1,DYS594,0.9803921568627451,0.9803921568627451
70,2,DYS607,0.4342105263157895,0.6447368421052632
71,1,DYS617,0.972972972972973,0.972972972972973
72,8,DYS635,0.2026769195189639,0.532608695652174
73,2,DYS636,0.5266247379454927,0.9777777777777777
74,1,DYS638,0.9777777777777777,0.9777777777777777
75,1,DYS641,0.975609756097561,0.975609756097561
76,2,DYS643,0.4882265275707899,0.9272727272727272
77,7,DYS714,0.10117650582420432,0.3037037037037037
78,3,DYS717,0.3434474268275766,0.6375
79,3,GATA-A10,0.33692810457516337,0.8166666666666667
80,2,GATA-H4,0.5156579873328642,0.9795918367346939
81,1,YCAIIa/b,0.9787234042553191,0.9787234042553191
82,1,DYS395S1a/b,0.975609756097561,0.975609756097561
83,5,DYS716,0.15265238576813459,0.3493150684931507
84,3,DYS464a/b/c/d,0.3318181818181818,0.8166666666666667
85,2,DYS640,0.45717403164211673,0.8717948717948718
