Start,End,Marker
2123258,2123329,GATA178F11
22336719,22336781,GATA062
24863638,24863677,GATA85D10
29145253,29145288,GATA64H04
31115845,31115896,GATA183H03Z
3157681,3157725,ATA45G06
35554012,35554067,GATA173A03
3870606,3870649,ATCT050
40568879,40568930,GATA13
5337564,5337607,GATA185C06
565284,565304,CTG008
57229997,57230029,ATA23G05
59889956,59889999,ATAG089
61152691,61152731,ATA7D07
6314037,6314084,AGAT060
68243050,68243089,GATA129F05
71246316,71246363,ATA82B02
7286409,7286460,GATA036
73095299,73095338,GATA157H01
75398817,75398864,GATA177C03
80094118,80094149,18QTEL11
9857644,9857730,AGAT127
