Start,End,Purity
119425,119454,0.9
148062,148086,1.0
368809,368838,0.933333333333
371180,371207,0.9640000000000001
734109,734133,1.0
840724,840768,0.9565217391299998
840729,840773,0.9111111111110001
2156415,2156446,1.0
2622147,2622171,1.0
3270083,3270144,0.968
3271435,3271465,0.903
3271532,3271564,0.909090909091
4571682,4571707,1.0
4678307,4678343,0.9459459459460001
4793519,4793543,0.92
4832806,4832830,1.0
5305364,5305406,0.9545454545450001
5306097,5306127,0.935
5432489,5432513,0.96
5834708,5834750,0.976744186047
5834982,5835028,0.9375
6412157,6412187,1.0
6461299,6461324,0.9229999999999999
6793524,6793556,0.909
7799362,7799387,0.923076923077
8735129,8735163,0.914285714286
13136321,13136349,0.965517241379
13251129,13251170,0.904761904762
14322078,14322106,0.931034482759
14723169,14723213,0.9565217391299998
15473905,15473955,0.9019607843140001
15743136,15743183,0.979166666667
15778314,15778351,1.0
16217265,16217295,0.967741935484
16727115,16727139,0.96
18474068,18474092,0.92
18474355,18474392,0.9473684210529999
18828656,18828695,0.95
19103378,19103403,0.9615384615379999
19103702,19103733,0.9375
19275278,19275310,0.909090909091
19341300,19341330,0.903
20622025,20622059,0.914285714286
20622452,20622478,0.925925925926
20714609,20714698,0.923913043478
20926784,20926814,0.935483870968
20927006,20927038,0.909090909091
21351092,21351117,0.923076923077
21439839,21439867,0.931034482759
21483300,21483347,0.958333333333
21802990,21803040,0.942307692308
21973877,21973908,0.90625
21976719,21976750,0.90625
21993800,21993852,0.943396226415
22447240,22447266,0.925925925926
24546370,24546442,0.9605263157889999
24546447,24546528,0.914634146341
26893824,26893851,0.928571428571
26922265,26922293,0.9309999999999999
26948446,26948488,0.976744186047
26962927,26962967,0.90243902439
26999762,26999791,0.9
27107625,27107663,0.923076923077
27298185,27298213,0.942857142857
27298416,27298445,0.9
27522425,27522451,0.925925925926
27523465,27523496,0.9375
27523949,27523974,0.9615384615379999
27524147,27524171,0.92
32782263,32782287,0.92
32990161,32990189,0.966
33000626,33000675,0.9
33000832,33000862,0.967741935484
33394483,33394514,0.90625
33474427,33474473,1.0
33475169,33475202,0.941176470588
33475719,33475750,0.9059999999999999
33535275,33535300,1.0
33547686,33547728,0.9318181818179999
33750618,33750647,0.933333333333
33817132,33817156,0.964285714286
33817729,33817756,0.964285714286
33818367,33818394,0.928571428571
