Start,End,Marker
104554641,104554688,GATA23F05
118196701,118196744,TTTA001
119861564,119861615,AGAT133
123649430,123649481,GGAA6D03
126714281,126714325,ATA55A05
131174955,131175010,GATA145G10
13917289,13917332,TATT019
140081654,140081697,GATA63F08P
140312843,140312886,GATA32C12
147933495,147933542,AGAT049
153078950,153079001,TATG002
156196433,156196460,MFD442-GTTT002
162284,162325,AFMb035xb9
23098466,23098517,GATA137A12
32096824,32096863,GATA13G11
43327962,43327991,TAT028
49349382,49349429,GATA24D12
5591055,5591098,GATA61G06
7693296,7693335,TATC010
78497726,78497765,GATA73D10
83167526,83167569,GATA87D11
9435395,9435434,GATA119B03
