Start,End,Marker
18680632,18680687,DYS385a/b
12635604,12635639,DYS388
11982089,11982132,DYS391
20471987,20472025,DYS392
3263111,3263158,DYS393
21681709,21681748,DYS406S1
13987208,13987253,DYS413a/b
17022970,17023005,DYS426
12345806,12345841,DYS434
12384503,12384538,DYS435
13091948,13091983,DYS436
12825899,12825948,DYS438
12403517,12403564,DYS439
12869907,12869976,DYS441
17114312,17114367,DYS444
19930716,19930763,DYS445
3263417,3263486,DYS446
8258259,8258303,DYS450
8356115,8356158,DYS454
7043528,7043571,DYS455
4402919,4402978,DYS456
7999839,7999902,DYS458
23932704,23932743,DYS459a/b
18888956,18888995,DYS460
19155161,19155204,DYS462
14396604,14396627,DYS472
8558337,8558402,DYS481
19937748,19937795,DYS485
9046133,9046171,DYS487
3575724,3575759,DYS490
15302457,15302489,DYS492
19224282,19224311,DYS494
12899385,12899434,DYS495
3772790,3772837,DYS505
15193043,15193078,DYS511
7547584,7547623,DYS522
8598154,8598197,DYS531
16281346,16281393,DYS533
16281096,16281155,DYS534
17246970,17247009,DYS537
19358338,19358389,DYS549
20439567,20439610,DYS556
21072826,21072889,DYS557
14414852,14414895,DYS565
8954514,8954553,DYS568
6993190,6993257,DYS570
3811619,3811658,DYS572
7568216,7568255,DYS575
7185318,7185385,DYS576
20400678,20400713,DYS578
22339546,22339610,DYS589
8687939,8687978,DYS590
19494951,19495000,DYS594
16969638,16969673,DYS617
20472971,20473014,DYS636
15533611,15533654,DYS638
14022416,14022455,DYS641
15314132,15314186,DYS643
16631673,16631720,GATA-H4
17510231,17510276,YCAIIa/b
17627461,17627501,DYS395S1a/b
